,text,gpt-4o-mini_response
0,เที่ยงแล้วน๊าาาาากาแฟซักแก้ว เค้กซักก้อน ก๋วยเตี๋ยวรสจัดซักชาม ทุกอย่างลงตัว คือดีอะ,positive
1,บ่ายแล้ว ทานข้าวกลางวันกันคะ,neutral
2,ORIGINAL MOCHI NUTELLA - ไดฟูกุนูเทลล่า ไส้นูเทลล่าเน้นๆ แป้งยืดหนึบบ กล่องละ 40.- (2 ชิ้น) 🚚ส่งทั่วไทย / นัดรับฟรี (มก ส่งถึงที่ - หอวังส่งถึงที่เลย),neutral
3,ถูกหวยในเป๋าตัง 80 ปี เกษตรศาสตร์ คิคิ,positive
4,แอนนาเสือ ที่ เกษตรแฟร์ค่า น่ารักมาก ❤️😝😅 กดติดตามช่องไว้เลย anna_suea ค่า https://t.co/1vmOY38L8q,positive
5,ของมันต้องมี วาเรนไทน์แล้วไง ไม่มีใครนี่ซิ ซื้อของขวัญวาเรนไทน์ให้ตัวเองก็ได้ เนอะ,positive
6,รีวิวร้านค้านิสิตเกษตรแฟร์66 โซน M ข้าวโพดหนุบหนับ,neutral
7,บะหมี่แห้งตีนไก่อย่างชอบ,positive
8,จบแล้วววว,neutral
9,เราซื้อกระต่ายมา2ตัว เสียไปแล้ว1ตัว อีกตัวแอดมิดอยู่รพ. น้องท้องเสียหนักมาก โอกาสรอด20% 😢 ใครซื้อกระต่ายมาจากงานอย่าลืมพาน้องไปตรวจสุขภาพนะคะ ก่อนที่มันจะสายเกินไป คุณหมอแจ้งว่าในคอกมีสิทธิติดหมดทุกตัว,negative
10,จริงๆอยากเดินทุกโซนเลยนะ แต่มันเดินไม่ไหวจริงๆ แค่ถึงโซน M ก็คือเหนื่อยแล้ว,neutral
11,ขอแฟนหน่อยงับบบ.,neutral
12,"จบไปเป็นที่เรียบร้อยแล้วสำหรับ มหกรรม ชิม-ช็อป-ใช้ ที่ยิ่งใหญ่ที่สุด""เกษตรแฟร์ ปี 2566""🙏แอดก็เลยอยากจะมาซาวเสียงทุก ๆ คน ว่าให้คะแนนเกษตรแฟร์ปีนี้กันคนละกี่คะแนน หรือว่าข้อติชมอะไรก็สามารถมาคอมเมนต์ใต้โพสต์นี้ได้เลย(text)",neutral
13,เด็กเอ็นที่งานเกษตรแฟร์น่ารักมาก,positive
14,ไปเจอน้องคนนึงที่เกษตรแฟร์มา น้องน่ารักมากกกกกกกก ขายของอยู่บู้ทสัตวแพทย์,positive
15,เครียดมากกับราดช็อคโกแลต @SaranPie,negative
16,มะวานอึ้งมาก ไปงานครั้งแรก กะเล่นปาเป้าหมุนเอาแค่ตัวเล็กติดมือสักตัว แต่ได้ก๊อตซิลล่าตัวเกือบ 1.5 เมตรมา แบกกันแขนล้าเลย,positive
17,ปริศนาทิ้งท้ายงานเกษตรแฟร์ ที่เค้าแบกกันในงานคือเป็ดหรือห่าน,neutral
18,ซ้อการ์ดดพี่จีจี้เดดสหวปยกดดดด น่ารักที่สุด,positive
19,เมื่อวานนัดเพื่อนที่เรียนแถวกรุงเทพ (เป็นคนภาคใต้ มาอ่านหนังสือที่กทม) เพื่อนที่เรียน มก มศว สมเด็จ มธ รังสิต ไปแอ่ว,neutral
20,ใครมีคอนแทคร้านขายกำไลมั้ยคะ,neutral
21,รับบทพ่อค้าหิว @SaranPie,neutral
22,เกษตรแฟร์วันสุดท้าย !! 🎡 คนเยอะมากๆแบบมหาศาล 🫠 กันไปถึงตอนบ่ายสามครึ่ง อากาศค่อนข้างร้อน ร้านแรกเลยซื้อน้ำไปก่อน 1 แก้ว 👏🏻👏🏻 โซนล่ารางวัลตุ๊กตาน้องเป็ดเยอะมากก 🎡🎪 โซนสัตว์เลี้ยงใช้เวลาอยู่เยอะสุด เพราะโดนน้อนๆตก อุแง 🤭💖🫶🏻 สุดท้ายกลับตอนทุ่มกว่า,positive
23,หมดจากเกษตรแฟร์คนก็แห่มานี่แทน บัตร 15 บาทงิ ดูแนวแล้วน่าจะแน่นน่าดูเลอ,neutral
24,จัดหน่อยๆสักแก้ว,neutral
25,เช้าๆจัดสเต๊กปลา,neutral
26,ขายบัตรสวนสยามใบละ 200 มี10ใบ,neutral
27,ทุเรียนทอดคือดีมาก อร่อยสุดๆ กรอบอร่อย ใครผ่านแวะซื้อกันเถอะ มันเริ่ด,positive
28,ร้านยังเปิดอยู่น้าา ถูกมากกก ‼️ พร้อมแอพพรีเมียมมากมาย น่าสนใจ ✅ 30 วัน ราคาเพียง 12฿ สนใจ https://t.co/hgwmyAUQT0,positive
29,รีวิวเกษตรแฟร์ ทำพาร์ทไทม์ 6 วัน เจอมิจ มิจฉาชีพ 3 วัน เสาร์ อาทิตย์ ตอนคนเยอะๆ ลุงมาในลุคคนมีตังค์แต่งตัวภูมิฐาน ใส่แหวน เสื้อเชิ้ต ทำทีซื้อของราคาร้อยกว่าๆ จากนั้นก็หยิบแบงค์เทาออกมา,negative
30,เรื่องเศร้าคือเรานัดกับเพื่อนที่ชิงช้าสวรรค์​แต่เราไม่รู้​ว่ามีชิงช้าสวรรค์​สองที่​ นี่มันเรื่องบ้าอะไรกันเกิดมาไม่เคยพบเคยเห็นชิงช้าสวรรค์​สองที่ในงานเดียวกัน555+😭😭,negative
31,ภาพถ่ายวัน พฤ ปัจจุบันแย่กว่านี้ สิ่งที่อธิบายได้จากภาพนี้คือ น้ำมันแย่เลยจ้ะ ตอนช่วงเกษตรแฟร์ มันฟ้องอะ ว่าสุดท้ายของเสีย น้ำเสีย มันลงน้ำ เลยเกิด Algae bloom / Eutrofication แบบนี้ ปีหน้าเกษตรจะต้องมีมาตรการรองรับเพื่อป้องกันความมักง่ายนี้ไหมแ,negative
32,มึงงงง ใครมีวาร์ปหมอดูไพ่ทักตรงโซนนิสิตบ้าง นี่ไปดูมาคือตรงแบบตะโกน 🥹👍,positive
